symbol,candidate_security,name,gics_sector_name,industry_sector,id_bb_global,candidate_returned
LGND,LGND US Equity,LIGAND PHARMACEUTICALS,Health Care,"Consumer, Non-cyclical",BBG000BKF014,True
LGND,__chosen__,LGND US Equity,Health Care,GICS_SECTOR_NAME,,True
LRN,LRN US Equity,STRIDE INC,Consumer Discretionary,"Consumer, Non-cyclical",BBG000QSXPZ9,True
LRN,__chosen__,LRN US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
LUMN,LUMN US Equity,LUMEN TECHNOLOGIES INC,Communication Services,Communications,BBG000BGLRN3,True
LUMN,__chosen__,LUMN US Equity,Communication Services,GICS_SECTOR_NAME,,True
MANT,MANT US Equity,MANTECH INTERNATIONAL CORP-A,Industrials,Technology,BBG000BGF8B5,True
MANT,__chosen__,MANT US Equity,Industrials,GICS_SECTOR_NAME,,True
MBUU,MBUU US Equity,MALIBU BOATS INC - A,Consumer Discretionary,"Consumer, Cyclical",BBG005PXTR70,True
MBUU,__chosen__,MBUU US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
MCBC,MCBC US Equity,MACATAWA BANK CORP,Financials,Financial,BBG000BHXPK5,True
MCBC,__chosen__,MCBC US Equity,Financials,GICS_SECTOR_NAME,,True
MCRI,MCRI US Equity,MONARCH CASINO & RESORT INC,Consumer Discretionary,"Consumer, Cyclical",BBG000BJ0932,True
MCRI,__chosen__,MCRI US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
MED,MED US Equity,MEDIFAST INC,Consumer Staples,"Consumer, Non-cyclical",BBG000BWBW76,True
MED,__chosen__,MED US Equity,Consumer Staples,GICS_SECTOR_NAME,,True
MEI,MEI US Equity,METHODE ELECTRONICS INC,Information Technology,"Consumer, Cyclical",BBG000BNY197,True
MEI,__chosen__,MEI US Equity,Information Technology,GICS_SECTOR_NAME,,True
MGPI,MGPI US Equity,MGP INGREDIENTS INC,Consumer Staples,"Consumer, Non-cyclical",BBG000BXK6C5,True
MGPI,__chosen__,MGPI US Equity,Consumer Staples,GICS_SECTOR_NAME,,True
MIME,MIME US Equity,MIMECAST LTD,Information Technology,Communications,BBG00B6W26V8,True
MIME,__chosen__,MIME US Equity,Information Technology,GICS_SECTOR_NAME,,True
MNR,MNR US Equity,MACH NATURAL RESOURCES LP,Energy,Energy,BBG01JJ2Q5R3,True
MNR,__chosen__,MNR US Equity,Energy,GICS_SECTOR_NAME,,True
MOG A,MOG A US Equity,,,,,False
MOG A,MOG/A US Equity,MOOG INC-CLASS A,Industrials,Industrial,BBG000BP7RH6,True
MOG A,__chosen__,MOG/A US Equity,Industrials,GICS_SECTOR_NAME,,True
MRLN,MRLN US Equity,MARLIN BUSINESS SERVICES INC,Financials,Financial,BBG000BN5MG5,True
MRLN,__chosen__,MRLN US Equity,Financials,GICS_SECTOR_NAME,,True
MTRN,MTRN US Equity,MATERION CORP,Materials,Industrial,BBG000BDTT76,True
MTRN,__chosen__,MTRN US Equity,Materials,GICS_SECTOR_NAME,,True
MTX,MTX US Equity,MINERALS TECHNOLOGIES INC,Materials,Basic Materials,BBG000BB61F7,True
MTX,__chosen__,MTX US Equity,Materials,GICS_SECTOR_NAME,,True
MYGN,MYGN US Equity,MYRIAD GENETICS INC,Health Care,"Consumer, Non-cyclical",BBG000D9H9F1,True
MYGN,__chosen__,MYGN US Equity,Health Care,GICS_SECTOR_NAME,,True
MYRG,MYRG US Equity,MYR GROUP INC/DELAWARE,Industrials,Industrial,BBG000BC7VW9,True
MYRG,__chosen__,MYRG US Equity,Industrials,GICS_SECTOR_NAME,,True
MZTI,MZTI US Equity,MARZETTI COMPANY/THE,Consumer Staples,"Consumer, Non-cyclical",BBG000BN1M88,True
MZTI,__chosen__,MZTI US Equity,Consumer Staples,GICS_SECTOR_NAME,,True
NATL,NATL US Equity,NCR ATLEOS CORP,Financials,Technology,BBG019Y0WP19,True
NATL,__chosen__,NATL US Equity,Financials,GICS_SECTOR_NAME,,True
NEO,NEO US Equity,NEOGENOMICS INC,Health Care,"Consumer, Non-cyclical",BBG000BKH263,True
NEO,__chosen__,NEO US Equity,Health Care,GICS_SECTOR_NAME,,True
NMIH,NMIH US Equity,NMI HOLDINGS INC,Financials,Financial,BBG005DLMMZ6,True
NMIH,__chosen__,NMIH US Equity,Financials,GICS_SECTOR_NAME,,True
NMRK,NMRK US Equity,NEWMARK GROUP INC-CLASS A,Real Estate,Financial,BBG00J24S765,True
NMRK,__chosen__,NMRK US Equity,Real Estate,GICS_SECTOR_NAME,,True
NVEC,NVEC US Equity,NVE CORP,Information Technology,Industrial,BBG000N22GR2,True
NVEC,__chosen__,NVEC US Equity,Information Technology,GICS_SECTOR_NAME,,True
NVEE,NVEE US Equity,NV5 GLOBAL INC,Industrials,Industrial,BBG005BT60Y8,True
NVEE,__chosen__,NVEE US Equity,Industrials,GICS_SECTOR_NAME,,True
NVRI,NVRI US Equity,ENVIRI CORP,Industrials,Industrial,BBG000BLH3P8,True
NVRI,__chosen__,NVRI US Equity,Industrials,GICS_SECTOR_NAME,,True
NWE,NWE US Equity,NORTHWESTERN ENERGY GROUP IN,Utilities,Utilities,BBG000Q1NMJ4,True
NWE,__chosen__,NWE US Equity,Utilities,GICS_SECTOR_NAME,,True
NXST,NXST US Equity,NEXSTAR MEDIA GROUP INC,Communication Services,Communications,BBG000DZJVH0,True
NXST,__chosen__,NXST US Equity,Communication Services,GICS_SECTOR_NAME,,True
OEC,OEC US Equity,ORION SA,Materials,Basic Materials,BBG006MC4LP7,True
OEC,__chosen__,OEC US Equity,Materials,GICS_SECTOR_NAME,,True
OGS,OGS US Equity,ONE GAS INC,Utilities,Utilities,BBG004WQKD07,True
OGS,__chosen__,OGS US Equity,Utilities,GICS_SECTOR_NAME,,True
OPK,OPK US Equity,OPKO HEALTH INC,Health Care,"Consumer, Non-cyclical",BBG000N49069,True
OPK,__chosen__,OPK US Equity,Health Care,GICS_SECTOR_NAME,,True
ORA,ORA US Equity,ORMAT TECHNOLOGIES INC,Utilities,Utilities,BBG000Q5BQ63,True
ORA,__chosen__,ORA US Equity,Utilities,GICS_SECTOR_NAME,,True
OTTR,OTTR US Equity,OTTER TAIL CORP,Utilities,Utilities,BBG000BQNM78,True
OTTR,__chosen__,OTTR US Equity,Utilities,GICS_SECTOR_NAME,,True
OXM,OXM US Equity,OXFORD INDUSTRIES INC,Consumer Discretionary,"Consumer, Cyclical",BBG000BQPRQ4,True
OXM,__chosen__,OXM US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
PAYO,PAYO US Equity,PAYONEER GLOBAL INC,Financials,"Consumer, Non-cyclical",BBG00Z5JLLB3,True
PAYO,__chosen__,PAYO US Equity,Financials,GICS_SECTOR_NAME,,True
PBH,PBH US Equity,PRESTIGE CONSUMER HEALTHCARE,Health Care,"Consumer, Non-cyclical",BBG000QM0RZ4,True
PBH,__chosen__,PBH US Equity,Health Care,GICS_SECTOR_NAME,,True
PENG,PENG US Equity,PENGUIN SOLUTIONS INC,Information Technology,Technology,BBG00GLTQCX6,True
